trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI_14,DIF,DEA,MACD,BOLL_MID,BOLL_STD,BOLL_UP,BOLL_LOW,BOLL_WIDTH,OBV,OBV_MA20
2026-05-26,688169.SH,125.08,127.91,121.29,121.95,125.08,-3.13,-2.5024,82400.9,1022877.01,49.69,1.6252,0.9373,1.3758,121.11,4.9457,131.0,111.22,16.33,-358260.8499999996,-391735.0
2026-05-27,688169.SH,121.6,122.2,117.0,117.0,121.95,-4.95,-4.059,86086.66,1024514.772,43.35,0.9633,0.9425,0.0416,121.19,4.8625,130.92,111.46,16.06,-444347.50999999966,-385258.0
2026-05-28,688169.SH,117.01,117.32,110.03,112.0,117.0,-5.0,-4.2735,91904.3,1032965.796,38.08,0.0348,0.7609,-1.4522,120.85,5.2573,131.36,110.34,17.39,-536251.8099999997,-386928.0
2026-05-29,688169.SH,111.33,112.0,102.54,102.54,112.0,-9.46,-8.4464,107693.6,1144542.691,30.51,-1.4477,0.3192,-3.5338,120.12,6.6343,133.39,106.85,22.09,-643945.4099999997,-391236.0
2026-06-01,688169.SH,103.69,109.72,103.69,107.98,102.54,5.44,5.3052,95328.09,1024188.557,38.12,-2.1587,-0.1764,-3.9646,119.63,7.1588,133.95,105.31,23.94,-548617.3199999997,-392999.0
2026-06-02,688169.SH,107.98,108.77,103.8,106.03,107.98,-1.95,-1.8059,54600.47,575934.477,36.58,-2.8467,-0.7104,-4.2726,119.14,7.7432,134.63,103.65,26.0,-603217.7899999997,-394661.0
2026-06-03,688169.SH,106.08,107.14,103.8,104.87,106.03,-1.16,-1.094,61371.93,646708.774,35.65,-3.4459,-1.2575,-4.3768,118.55,8.3666,135.28,101.82,28.22,-664589.7199999997,-402578.0
2026-06-04,688169.SH,103.88,105.96,103.28,104.2,104.87,-0.67,-0.6389,42532.34,444668.574,35.1,-3.9295,-1.7919,-4.2752,117.85,8.9618,135.77,99.93,30.41,-707122.0599999997,-416003.0
2026-06-05,688169.SH,104.21,110.98,102.68,108.68,104.2,4.48,4.2994,87359.01,934361.214,41.62,-3.9062,-2.2148,-3.3828,117.24,9.1581,135.56,98.92,31.25,-619763.0499999997,-429457.0
2026-06-08,688169.SH,106.9,115.29,106.5,112.8,108.68,4.12,3.7909,110306.18,1236406.256,46.91,-3.5148,-2.4748,-2.08,116.91,9.1954,135.3,98.52,31.46,-509456.8699999997,-433442.0
